45;D0037097;172.16.223.37;SB-FBP023;SB-FBP-LTC06;SB-FBP023;;LoRes Transcoder 06;https://SB-FBP023-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;LoRes Transcoder;B;;24;441;1;Lastverteilung;FBP.ESW.B4;3;;11;;;;;;;;;;;;;;
46;D0037113;;SB-FBP023;SB-FBP-LTC06;SB-FBP023;;LoRes Transcoder 06;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;4;;12;;;;;;;;;;;;;;
47;D0037098;;SB-FBP024;(frei);SB-FBP024;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;3;;12;;;;;;;;;;;;;;
48;D0037114;;SB-FBP024;(frei);SB-FBP024;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;3;;12;;;;;;;;;;;;;;
49;D0037099;172.16.223.38;SB-FBP025;SB-FBP-HTC02;SB-FBP025;;Amberfin HiRes Transcoder 02;https://SB-FBP025-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;Amberfin;B;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;4;;13;;;;;;;;;;;;;;
50;D0037115;;SB-FBP025;SB-FBP-HTC02;SB-FBP025;;Amberfin HiRes Transcoder 02;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;4;;13;;;;;;;;;;;;;;
51;D0037100;172.16.223.39;SB-FBP026;SB-FBP-HTC04;SB-FBP026;;Amberfin HiRes Transcoder 04;https://SB-FBP026-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;Amberfin;B;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;3;;13;;;;;;;;;;;;;;
52;D0037116;;SB-FBP026;SB-FBP-HTC04;SB-FBP026;;Amberfin HiRes Transcoder 04;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;3;;13;;;;;;;;;;;;;;
53;D0037101;172.16.223.31;SB-FBP027;SB-FBP-HTC06;SB-FBP027;;Amberfin HiRes Transcoder 06;https://SB-FBP027-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;Amberfin;B;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;4;;14;;;;;;;;;;;;;;
54;D0037117;;SB-FBP027;SB-FBP-HTC06;SB-FBP027;;Amberfin HiRes Transcoder 06;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;4;;14;;;;;;;;;;;;;;
